fold,k,ratio,gen_seed,variable,type,real_pearson_with_target,syn_pearson_with_target,pearson_abs_diff,real_spearman_with_target,syn_spearman_with_target,spearman_abs_diff,sign_preserved,real_eta_squared_on_target,syn_eta_squared_on_target,eta_squared_abs_diff
4,1,1.0,0,interlayer_A,continuous,-0.0529377842125629,0.05235411189201474,0.10529189610457765,-0.2840759557467533,-0.07254623044096728,0.21152972530578604,False,,,
4,1,1.0,0,h2so4_M,categorical,,,,,,,,0.12715505640520766,0.08147119828515437,0.045683858120053294
4,1,1.0,0,composition_family,categorical,,,,,,,,0.8848008323236328,0.8099291372059835,0.07487169511764935
4,1,1.0,0,scan_rate_mV_s,categorical,,,,,,,,0.053195817503489305,0.05986862295575859,0.0066728054522692815
4,1,1.0,0,layer_class,categorical,,,,,,,,0.014845274520814532,0.015675510975287896,0.0008302364544733633
4,1,3.0,0,interlayer_A,continuous,-0.0529377842125629,-0.06173511822948554,0.00879733401692264,-0.2840759557467533,-0.03383082562119034,0.250245130125563,True,,,
4,1,3.0,0,h2so4_M,categorical,,,,,,,,0.12715505640520766,0.18354862526685548,0.056393568861647814
4,1,3.0,0,composition_family,categorical,,,,,,,,0.8848008323236328,0.8997401748185531,0.014939342494920238
4,1,3.0,0,scan_rate_mV_s,categorical,,,,,,,,0.053195817503489305,0.029470985336432665,0.02372483216705664
4,1,3.0,0,layer_class,categorical,,,,,,,,0.014845274520814532,0.06143885745277368,0.04659358293195914
4,1,5.25,0,interlayer_A,continuous,-0.0529377842125629,0.020398443438761533,0.07333622765132443,-0.2840759557467533,-0.049589739743493594,0.23448621600325972,False,,,
4,1,5.25,0,h2so4_M,categorical,,,,,,,,0.12715505640520766,0.13188375844691452,0.0047287020417068615
4,1,5.25,0,composition_family,categorical,,,,,,,,0.8848008323236328,0.8933398005694263,0.008538968245793477
4,1,5.25,0,scan_rate_mV_s,categorical,,,,,,,,0.053195817503489305,0.013473965832362255,0.03972185167112705
4,1,5.25,0,layer_class,categorical,,,,,,,,0.014845274520814532,0.030481534991967575,0.015636260471153043
